,typeId,typeName,id,code,name,zoneId,zone,address,largeCar,car,carDis,carWoman,carGreen,moto,motoDis,largeCar_total,car_total,carDis_total,carWoman_total,carGreen_total,moto_total,motoDis_total,chargeTime,chargeFee,update_time,lnglat
26,2,公有收費停車場,116,B00012,永康中華立體停車場,7,永康區,永康區華興街77號,0,67,0,0,0,0,0,0,289,0,0,0,0,0,,,2020-01-13 10:08:14,"23.000737,120.238085"
27,2,公有收費停車場,117,B00013,永康區復國里停(七)停車場,7,永康區,臺南市永康區復國一路150巷26號邊,0,25,0,0,0,0,0,0,45,0,0,0,0,0,,,2020-01-13 10:08:14,"23.005160,120.247130"
28,2,公有收費停車場,118,B00014,臺南市仁德區立體停車場,14,仁德區,仁德區正義一街41號,0,44,0,0,0,0,0,0,294,0,0,0,0,0,,,2020-01-13 10:08:14,"22.972088,120.253223"
29,2,公有收費停車場,119,B00015,新市國小地下停車場,36,新市區,新市區中興路1號B1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,,,2022-11-26 16:06:02,"23.078299,120.2953306"
30,2,公有收費停車場,127,A01121,西門路育賢停車場,4,北區,台南市北區西門路四段341巷16號對面空地,0,9,0,0,0,0,0,0,29,0,0,0,0,0,,,2022-11-26 16:06:58,"23.015194,120.209305"
31,2,公有收費停車場,128,B00016,長榮崇明停車場,2,東區,長榮路一段與長榮路一段15巷路口,0,6,0,0,0,0,0,0,16,0,0,0,0,0,,,2022-11-26 16:02:44,"22.982578,120.216159"
32,2,公有收費停車場,129,A01131,大學路(社E2)停車場,2,東區,台南市東區大學路西段53號西側,0,75,0,0,0,0,0,0,159,0,0,0,0,0,營業時間(自行輸入),收費金額(自行輸入),2022-11-26 16:05:21,"22.996415,120.216435"
33,2,公有收費停車場,130,A01141,關聖里停車場,2,東區,台南市東區裕和路39號旁,0,6,0,0,0,0,0,0,68,0,0,0,0,0,,,2022-11-26 16:06:02,"22.985299,120.240880"
34,2,公有收費停車場,131,A01221,民族路停車場,2,東區,台南市東區民族路一段47號旁,0,2,0,0,0,0,0,0,28,0,0,0,0,0,24小時,"平日：$20/H,當日當次最高上限$120；假日：$20/H,當日當次最高上限$150",2022-11-26 16:05:09,"22.994291,120.214003"
35,2,公有收費停車場,132,A01231,大學路(社E1)停車場,2,東區,台南市東區大學路西段67號旁,0,18,0,0,0,0,0,0,57,0,0,0,0,0,24小時,"平日：$20/H,當日當次最高上限$120；假日：$20/H,當日當次最高上限$150",2022-11-26 16:05:13,"22.996186,120.215532"
36,2,公有收費停車場,133,A01241,永福路停車場,1,中西區,台南市中西區永福路一段與永福路一段359巷交叉口,0,0,0,0,0,0,0,0,27,0,0,0,0,0,24小時,$20/H，當日當次最高上限$380,2022-11-26 16:02:18,"22.989641,120.200203"
37,2,公有收費停車場,134,A01251,停2路外停車場(北側),5,安平區,臺南市安平區建平16街近中華西路北側,0,73,0,0,0,0,0,0,92,2,2,0,0,0,,,2022-07-01 02:56:43,"22.996775,120.185680"
38,2,公有收費停車場,135,A01261,崇明停E6停車場,2,東區,臺南市東區崇明路崇明國中南側,0,32,0,0,0,0,0,0,106,3,3,3,0,0,24小時,每小時20元,2022-10-25 11:49:31,"22.969779,120.225508"
